authorized_form,keyword,first_group,second_group,third_group
Suomen Sosialidemokraattinen Puolue,sosialidemokraatit,puolue,parlamentaarinen,
Suomen Sosialidemokraattinen Puolue,demarit,puolue,parlamentaarinen,
Suomen Sosialidemokraattinen Puolue,SDP,puolue,parlamentaarinen,
Suomen Keskusta,keskusta,puolue,parlamentaarinen,
Kansallinen kokoomus,kokoomus,puolue,parlamentaarinen,
Perussuomalaiset,perussuomalaiset,puolue,parlamentaarinen,
Perussuomalaiset,persut,puolue,parlamentaarinen,
Vihreä liitto,vihreät,puolue,parlamentaarinen,
Vasemmistoliitto,vasemmistoliitto,puolue,parlamentaarinen,
Ruotsalainen kansanpuolue,ruotsalainen kansanpuolue,puolue,parlamentaarinen,
Ruotsalainen kansanpuolue,RKP,puolue,parlamentaarinen,
Kristillisdemokraatit,kristillisdemokraatit,puolue,parlamentaarinen,
tasavallan presidentti,presidentti,valtioelin,presidentti,
valtioneuvosto,valtioneuvosto,valtioelin,valtioneuvosto,
hallitus,hallitus,valtioelin,valtioneuvosto,
eduskunta,eduskunta,valtioelin,parlamentaarinen,
ulkoasiainministeriö,ulkoministeriö,ministeriö,valtioneuvosto,
ulkoasianministeriö,ulkoasiainministeriö,ministeriö,valtioneuvosto,
oikeusministeriö,oikeusministeriö,ministeriö,valtioneuvosto,
sisäministeriö,sisäministeriö,ministeriö,valtioneuvosto,
puolustusministeriö,puolustusministeriö,ministeriö,valtioneuvosto,
valtiovarainministeriö,valtiovarainministeriö,ministeriö,valtioneuvosto,
valtiovarainministeriö,VM,ministeriö,valtioneuvosto,
opetus- ja kulttuuriministeriö,kulttuuriministeriö,ministeriö,valtioneuvosto,
opetus- ja kulttuuriministeriö,opetusministeriö,ministeriö,valtioneuvosto,
maa- ja metsätalousministeriö,maa- ja metsätalousministeri,ministeriö,valtioneuvosto,
liikenne- ja viesintäministeriö,liikenne- ja viestintäministeri,ministeriö,valtioneuvosto,
työ- ja elinkeinoministeriö,työ- ja elinkeinoministeri,ministeriö,valtioneuvosto,
työ- ja elinkeinoministeriö,TEM,ministeriö,valtioneuvosto,
sosiaali- ja terveysministeriö,sosiaali- ja terveysministeriö,ministeriö,valtioneuvosto,
sosiaali- ja terveysministeriö,STM,ministeriö,valtioneuvosto,
ympäristöministeriö,ympäristöministeriö,ministeriö,valtioneuvosto,
oikeuskanslerinvirasto,oikeuskanslerinvirasto,virasto,valtioneuvosto,
oikeuskansleri,oikeuskansleri,virkamies,valtioneuvosto,
pääministeri,pääministeri,ministeri,valtioneuvosto,
ulkoministeri,ulkoministeri,ministeri,valtioneuvosto,
valtiovarainministeri,valtiovarainministeri,ministeri,valtioneuvosto,
opetusministeri,opetusministeri,ministeri,valtioneuvosto,
kulttuuriministeri,kulttuuriministeri,ministeri,valtioneuvosto,
opetus- ja kulttuuriministeri,opetus- ja kulttuuriministeri,ministeri,valtioneuvosto,
työministeri,työministeri,ministeri,valtioneuvosto,
työ- ja elinkeinoministeri,työ- ja elinkeinoministeri,ministeri,valtioneuvosto,
sosiaali- ja terveysministeri,sosiaali- ja terveysministeri,ministeri,valtioneuvosto,
peruspalveluministeri,peruspalveluministeri,ministeri,valtioneuvosto,
kuntaministeri,kuntaministeri,ministeri,valtioneuvosto,
ympäristöministeri,ympäristöministeri,ministeri,valtioneuvosto,
omistajaohjausministeri,omistajaohjausministeri,ministeri,valtioneuvosto,
perhe- ja peruspalveluministeri,perhe- ja peruspalveluministeri,ministeri,valtioneuvosto,
kunta- ja uudistusministeri,kunta- ja uudistusministeri,ministeri,valtioneuvosto,
ulkomaankauppaministeri,ulkomaankauppaministeri,ministeri,valtioneuvosto,
sisäministeri,sisäministeri,ministeri,valtioneuvosto,
kehitysministeri,kehitysministeri,ministeri,valtioneuvosto,
ulkomaankauppa- ja kehitysministeri,ulkomaankauppa- ja kehitysministeri,,valtioneuvosto,
liikenneministeri,liikenneministeri,ministeri,valtioneuvosto,
liikenne- ja viestintäministeri,liikenne- ja viestintäministeri,ministeri,valtioneuvosto,
puolustusministeri,puolustusministeri,ministeri,valtioneuvosto,
kansliapäällikkö,kansliapäällikkö,virkamies,valtioneuvosto,
valtiosihteeri,valtiosihteeri,virkamies,valtioneuvosto,
ulko- ja turvallisuuspoliittinen ministerivaliokunta,ulko- ja turvallisuuspoliittinen ministerivaliokunta,ministerivaliokunta,valtioneuvosto,
ulko- ja turvallisuuspoliittinen ministerivaliokunta,UTVA,ministerivaliokunta,valtioneuvosto,
EU-ministerivaliokunta,EU-ministerivaliokunta,ministerivaliokunta,valtioneuvosto,
Raha-asiainvaliokunta,raha-asiainvaliokunta,ministerivaliokunta,valtioneuvosto,
Talouspoliittinen ministerivaliokunta,talouspoliittinen ministerivaliokunta,,valtioneuvosto,
valtakunnansovittelija,valtakunnansovittelija,virkamies,valtioneuvosto,
tasa-arvovaltuutettu,tasa-arvovaltuutettu,virkamies,valtioneuvosto,
vähemmistövaltuutettu,vähemmistövaltuutettu,virkamies,valtioneuvosto,
yhdenvertaisuusvaltuutettu,yhdenvertaisuusvaltuutettu,virkamies,valtioneuvosto,
lapsiasiamies,lapsiasiamies,virkamies,valtioneuvosto,
tietosuojavaltuutettu,tietosuojavaltuutettu,virkamies,valtioneuvosto,
eduskunta,eduskunta,eduskunta,parlamentaarinen,
suuri valiokunta,suuri valiokunta,eduskunta,parlamentaarinen,
perustuslakivaliokunta,perustuslakivaliokunta,eduskunta,parlamentaarinen,
ulkoasiainvaliokunta,ulkoasiainvaliokunta,eduskunta,parlamentaarinen,
valtiovarainvaliokunta,valtiovarainvaliokunta,eduskunta,parlamentaarinen,
tarkastusvaliokunta,tarkastusvaliokunta,eduskunta,parlamentaarinen,
hallintovaliokunta,hallintovaliokunta,eduskunta,parlamentaarinen,
lakivaliokunta,lakivaliokunta,eduskunta,parlamentaarinen,
liikenne- ja viestintävaliokunta,liikenne- ja viestintävaliokunta,eduskunta,parlamentaarinen,
maa- ja metsätalousvaliokunta,maa- ja metsätalousvaliokunta,eduskunta,parlamentaarinen,
puolustusvaliokunta,puolustusvaliokunta,eduskunta,parlamentaarinen,
sivistysvaliokunta,sivistysvaliokunta,eduskunta,parlamentaarinen,
sosiaali- ja terveysvaliokunta,sosiaali- ja terveysvaliokunta,eduskunta,parlamentaarinen,
talousvaliokunta,talousvaliokunta,eduskunta,parlamentaarinen,
tulevaisuusvaliokunta,tulevaisuusvaliokunta,eduskunta,parlamentaarinen,
työelämä- ja tasa-arvovaliokunta,työelämä- ja tasa-arvovaliokunta,eduskunta,parlamentaarinen,
ympäristövaliokunta,ympäristövaliokunta,eduskunta,parlamentaarinen,
puhemiesneuvosto,puhemiesneuvosto,eduskunta,parlamentaarinen,
puhemies,puhemies,eduskunta,parlamentaarinen,
varapuhemies,varapuhemies,eduskunta,parlamentaarinen,
eduskunnan pääsihteeri,eduskunnan pääsihteeri,eduskunta,parlamentaarinen,
Yhdistyneet kansakunnat,YK,ylikansallinen,kv-elimet,maailma
Arktinen neuvosto,arktinen neuvosto,ylikansallinen,kv-elimet,maailma
Pohjoismaiden neuvosto,Pohjoismaiden neuvosto,ylikansallinen,kv-elimet,pohjoismaat
Eurooppa-neuvosto,Eurooppa-neuvosto,ylikansallinen,kv-elimet,eurooppa
EU-ministerikokous,ministerikokous,ylikansallinen,kv-elimet,eurooppa
komissio,komissio,ylikansallinen,kv-elimet,eurooppa
Euroopan parlamentti,Euroopan parlamentti,ylikansallinen,kv-elimet,eurooppa
Euroopan keskuspankki,Euroopan keskuspankki,ylikansallinen,kv-elimet,eurooppa
Euroopan keskuspankki,EKP,ylikansallinen,kv-elimet,eurooppa
Euroopan ihmisoikeustuomioistuin,Euroopan ihmisoikeustuomioistuin,ylikansallinen,kv-elimet,eurooppa
EU-puheenjohtajamaa,EU-puheenjohtajamaa,ylikansallinen,kv-elimet,eurooppa
OECD,OECD,ylikansallinen,kv-elimet,eurooppa
ETYJ,ETYJ,ylikansallinen,kv-elimet,eurooppa
Helsingin yliopisto,Helsingin yliopisto,yliopisto,tiede,
Itä-Suomen yliopisto,Itä-Suomen yliopisto,yliopisto,tiede,
Jyväskylän yliopisto,Jyväskylän yliopisto,yliopisto,tiede,
Lapin yliopisto,Lapin yliopisto,yliopisto,tiede,
Lappeenrannan teknillinen yliopisto,Lappeenrannan teknillinen yliopisto,yliopisto,tiede,
Oulun yliopisto,Oulun yliopisto,yliopisto,tiede,
Svenska handelshögskolan,Svenska handelshögskolan,yliopisto,tiede,
Hanken,Hanken,yliopisto,tiede,
Taideyliopisto,Taideyliopisto,yliopisto,tiede,
Tampereen teknillinen yliopisto,Tampereen teknillinen yliopisto,yliopisto,tiede,
Tampereen yliopisto,Tampereen yliopisto,yliopisto,tiede,
Turun yliopisto,Turun yliopisto,yliopisto,tiede,
Vaasan yliopisto,Vaasan yliopisto,yliopisto,tiede,
Åbo Akademi,Åbo Akademi,yliopisto,tiede,
Maanpuolustuskorkeakoulu,Maanpuolustuskorkeakoulu,yliopisto,tiede,
Poliisiammattikorkeakoulu,Poliisiammattikorkeakoulu,yliopisto,tiede,
Valtion taloudellinen tutkimuskeskus ,Valtion taloudellinen tutkimuskeskus ,tutkimuslaitos,tiede,
Valtion taloudellinen tutkimuskeskus ,VATT,tutkimuslaitos,tiede,
Kotimaisten kielten keskus,KOTUS,tutkimuslaitos,tiede,
KOTUS,KOTUS,tutkimuslaitos,tiede,
Maa- ja elintarviketalouden tutkimuskeskus,Maa- ja elintarviketalouden tutkimuskeskus,tutkimuslaitos,tiede,
Elintarviketurvallisuusvirasto,Elintarviketurvallisuusvirasto,tutkimuslaitos,tiede,
Elintarviketurvallisuusvirasto,EVIRA,tutkimuslaitos,tiede,
Riista- ja kalatalouden tutkimuskeskus,Riista- ja kalatalouden tutkimuskeskus,tutkimuslaitos,tiede,
Metsäntutkimuslaitos,Metsäntutkimuslaitos,tutkimuslaitos,tiede,
Geodeettinen laitos,Geodeettinen laitos,tutkimuslaitos,tiede,
Ilmatieteen laitos,Ilmatieteen laitos,tutkimuslaitos,tiede,
Geologian tutkimuskeskus,Geologian tutkimuskeskus,tutkimuslaitos,tiede,
VTT,VTT,tutkimuslaitos,tiede,
Teknologian tutkimuskeskus,Teknologian tutkimuskeskus,tutkimuslaitos,tiede,
Mittatekniikan keskus,Mittatekniikan keskus,tutkimuslaitos,tiede,
Säteilyturvakeskus,Säteilyturvakeskus,tutkimuslaitos,tiede,
Terveyden- ja hyvinvoinnin laitos,Terveyden- ja hyvinvoinnin laitos,tutkimuslaitos,tiede,
Terveyden- ja hyvinvoinnin laitos,THL,tutkimuslaitos,tiede,
Työterveyslaitos,Työterveyslaitos,tutkimuslaitos,,
Suomen ympäristökeskus,Suomen ympäristökeskus,tutkimuslaitos,,
STAKES,STAKES,tutkimuslaitos,,
Elinkeinoelämän tutkimuslaitos,ETLA,tutkimuslaitos,,
Elinkeinoelämän tutkimuslaitos,Elinkeinoelämän tutkimuslaitos,tutkimuslaitos,,
Kirkon tutkimuskeskus,Kirkon tutkimuskeskus,tutkimuslaitos,,
Kriminologian ja oikeuspolitiikan instituutti,Kriminologian ja oikeuspolitiikan instituutti,tutkimuslaitos,,
Kuluttajatutkimuskeskus,Kuluttajatutkimuskeskus,tutkimuslaitos,,
Merentutkimuslaitos,Merentutkimuslaitos,tutkimuslaitos,,
Palkansaajien tutkimuslaitos,Palkansaajien tutkimuslaitos,tutkimuslaitos,,
Pellervon taloustutkimus,Pellervon taloustutkimus,tutkimuslaitos,,
Suomen Pankki,Suomen Pankki,tutkimuslaitos,,
Ulkopoliittinen instituutti,Ulkopoliittinen instituutti,tutkimuslaitos,,
Elinkeinoelämän valtuuskunta,Elinkeinoelämän valtuuskunta,ajatuspaja,,
Libera,Libera,ajatuspaja,,
Perusta,Perusta,ajatuspaja,,
Kalevi Sorsa -säätiö,Kalevi Sorsa -säätiö,ajatuspaja,,
Ajatushautomo Magma,Ajatushautomo Magma,ajatuspaja,,
E2,E2,ajatuspaja,,
Vasemmistofoorumi,Vasemmistofoorumi,ajatuspaja,,
Visio,Visio,ajatuspaja,,
Suomen Toivo,Suomen Toivo,ajatuspaja,,
Ajatushautomo Tänk,Ajatushautomo Tänk,ajatuspaja,,
Sitra,Sitra,ajatuspaja,,
Demos,Demos,ajatuspaja,,
piispa,piispa,kirkko,,
arkkipiispa,arkkipiispa,kirkko,,
Suomen evankelis-luterilainen kirkko,kirkko,kirkko,,
Suomen Kuntaliitto,Suomen Kuntaliitto,järjestöt,,
Elinkeinoelämän keskusliitto,Elinkeinoelämän keskusliitto,järjestöt,,
MTK,MTK,järjestöt,,
Metsäteollisuus ry,Metsäteollisuus,järjestöt,,
Suomen luonnonsuojeluliitto,Suomen luonnonsuojeluliitto,järjestöt,,
Akava,Akava,järjestöt,,
SAK,SAK,järjestöt,,
Suomen Yrittäjät,Suomen Yrittäjät,järjestöt,,
Finanssialan keskusliitto,Finanssialan keskusliitto,järjestöt,,
Svenska lantbruksproducenternas centralförbund,Svenska lantbruksproducenternas centralförbund,järjestöt,,
STTK,STTK,järjestöt,,
Työmarkkinajärjestöt,Työmarkkinajärjestöt,järjestöt,,
Ficom,Ficom,järjestöt,,
Energiateollisuus,Energiateollisuus,järjestöt,,
Pro Agria,Pro Agria,järjestöt,,
Päivittäistavarakauppa,Päivittäistavarakauppa,järjestöt,,
Suomen Punainen Risti,Suomen Punainen Risti,järjestöt,,
Elintarviketeollisuusliitto,Elintarviketeollisuusliitto,järjestöt,,
Keskuskauppakamari,Keskuskauppakamari,järjestöt,,
Koneyrittäjät,Koneyrittäjät,järjestöt,,
Majoitus- ja ravitsemispalvelut MaRa,Majoitus- ja ravitsemispalvelut,järjestöt,,
Rakennusinsinöörien liitto RIL,Rakennusinsinöörien liitto,järjestöt,,
Rakennusteolisuus,Rakennusteolisuus,järjestöt,,
RAKLI,RAKLI,järjestöt,,
Teknologiateollisuus,Teknologiateollisuus,järjestöt,,
Suomen yliopistot UNIFI,UNIFI,järjestöt,,
Vammaisfoorumi,Vammaisfoorumi,järjestöt,,
Kirkon ulkomaanapu,Kirkon ulkomaanapu,järjestöt,,
Amnesty,Amnesty,järjestöt,,
Pakolaisapu,Pakolaisapu,järjestöt,,
Pakolaisneuvonta,Pakolaisneuvonta,järjestöt,,
Ihmisoikeusliitto,Ihmisoikeusliitto,järjestöt,,
Unicef,Unicef,järjestöt,,
Lääkärit ilman rajoja,Lääkärit ilman rajoja,järjestöt,,
Maahanmuuttovirasto,Maahanmuuttovirasto,viranomainen,,
Maahanmuuttovirasto,Migri,viranomainen,,
Rajavartiolaitos,Rajavartiolaitos,viranomainen,,
Poliisi,poliisi,viranomainen,,
TANE,Tasa-arvoasioiden neuvottelukunta,järjestöt,,
Helfem,Helfem,järjestöt,,
Tasan!,Tasan!,järjestöt,,sd
Nytkis,Naisjärjestöt yhteistyössä,järjestöt,,
NJKL,Naisjärjestöjen keskusliitto,järjestöt,,
Monika-naiset,Monika-naiset,järjestöt,,
Feministinen puolue,Feministinen puolue,puolue,,
Profeministimiehet,Profeministimiehet,järjestöt,,
Miesjärjestöjen keskusliitto,Miesjärjestöjen keskusliitto,järjestöt,,
Miesten tasa-arvo ry,Miesten tasa-arvo,järjestöt,,
Naisten linja,Naisten linja,järjestöt,,